Input | IR Sensor Values               | Predicted            | Actual              
2043  | [ 0, 0,15,38, 0, 1, 0]         | [e2]                 | [e2,e3]             
2044  | [1,0,1,2,2,0,0]                | [b1,b2]              | [b1,b2]             
2045  | [0,0,0,1,3,0,0]                | [r1,r2,s1,s2]        | [s2]                
2046  | [0,0,0,3,0,0,0]                | [b1]                 | [b1]                
2047  | [0,0,0,0,2,0,0]                | [s1]                 | [a1]                
2048  | [0,0,0,0,2,0,0]                | [s1]                 | [r2]                
2049  | [0,0,0,3,1,0,0]                | [b1]                 | [b1]                
2050  | [ 0, 0,18,35, 4, 0, 0]         | [e2]                 | [e2,e3]             
2051  | [0,0,0,0,0,0,0]                | [a1]                 | [r1]                
2052  | [0,0,0,0,0,0,0]                | [a1]                 | [a1]                
2053  | [0,0,1,0,0,0,0]                | [a2]                 | [b2]                
2054  | [0,0,0,0,0,0,0]                | [a1]                 | [s1,s2]             
2055  | [0,0,1,0,5,0,0]                | [r1,r2,s1,s2]        | [a2]                
2056  | [0,0,0,1,0,0,0]                | [b1,b2]              | [a1]                
2057  | [0,0,0,1,3,0,0]                | [r1,r2,s1,s2]        | [r2]                
2058  | [  0,  0,  0,  2,224,  5,  0]  | [f3]                 | [f3]                
2059  | [0,0,0,1,0,0,0]                | [b1,b2]              | [r1,r2,s1,s2]       
2060  | [  0,  2,218,750,  2,  2,  0]  | [e3]                 | [e3]                
2061  | [  0,  0, 85,105, 63, 14,  0]  | [f2,f3]              | [e1,e2,f1,f2]       
2062  | [ 0, 0,15, 6, 0, 0, 0]         | [e2]                 | [e2]                
2063  | [0,0,0,0,0,0,0]                | [a1]                 | [r2]                
2064  | [  0,  1, 85,107, 65, 17,  0]  | [f2,f3]              | [e1,e2,f1,f2]       
2065  | [0,0,0,1,1,0,0]                | [b1,b2]              | [b1,b2]             
2066  | [ 0, 0, 0, 5,32, 5, 0]         | [f2,f3]              | [f2,f3]             
2067  | [0,0,0,0,0,0,0]                | [a1]                 | [a1,a2]             
2068  | [0,0,0,0,0,0,0]                | [a1]                 | [a2]                
2069  | [0,0,0,0,0,0,0]                | [a1]                 | [b1]                
2070  | [0,1,0,2,1,0,0]                | [b1]                 | [b2]                
2071  | [0,0,0,3,0,0,0]                | [b1]                 | [s2]                
2072  | [0,0,0,0,1,0,0]                | [a1]                 | [s2]                
2073  | [0,0,0,0,3,0,0]                | [r1,r2,s1,s2]        | [s1]                
2074  | [0,0,0,1,2,0,0]                | [r1,r2,s1,s2]        | [s2]                
2075  | [0,0,0,0,0,0,0]                | [a1]                 | [a1,a2]             
2076  | [0,1,0,2,1,0,0]                | [b1]                 | [b1]                
2077  | [0,0,0,0,0,0,0]                | [a1]                 | [a1,a2,b1,b2]       
2078  | [0,0,0,0,0,0,0]                | [a1]                 | [b2]                
2079  | [0,0,0,2,0,0,0]                | [b1]                 | [s1]                
2080  | [0,0,0,1,2,0,0]                | [r1,r2,s1,s2]        | [s1,s2]             
2081  | [0,0,0,0,3,0,0]                | [r1,r2,s1,s2]        | [r1,r2,s1,s2]       
2082  | [0,0,1,2,1,0,0]                | [b1]                 | [b2]                
2083  | [ 0, 0,18, 5, 0, 0, 0]         | [e2]                 | [e2]                
2084  | [0,0,0,1,0,0,0]                | [b1,b2]              | [r1,r2]             
2085  | [0,0,0,0,2,0,0]                | [s1]                 | [b1,b2]             
2086  | [ 0, 0, 0, 7,29, 4, 0]         | [f2,f3]              | [f2,f3]             
2087  | [ 0, 0, 2, 0,30, 0, 0]         | [f2,f3]              | [f2,f3]             
2088  | [1,0,1,0,4,0,0]                | [r1,r2,s1,s2]        | [r1,r2]             
2089  | [ 0, 0, 0, 4,28, 4, 0]         | [f2,f3]              | [f2,f3]             
2090  | [ 1, 0,20,34, 2, 0, 0]         | [e2]                 | [e2,e3]             
2091  | [  0,  2,220,748,  3,  1,  0]  | [e3]                 | [e3]                
2092  | [0,0,0,0,0,0,0]                | [a1]                 | [r2]                
2093  | [ 0, 0, 0, 6,11, 9, 0]         | [f2]                 | [f2]                
2094  | [0,0,0,0,3,0,0]                | [r1,r2,s1,s2]        | [r1,r2,s1,s2]       
2095  | [0,0,0,1,2,0,0]                | [r1,r2,s1,s2]        | [a2]                
2096  | [  0,  0,  0,  0,227,  3,  0]  | [f3]                 | [f3]                
2097  | [  0,  0,  0,  3,224,  5,  0]  | [f3]                 | [f3]                
2098  | [0,0,0,0,0,0,0]                | [a1]                 | [a2]                
2099  | [0,0,0,2,1,0,0]                | [b1]                 | [b1,b2]             
