Input | IR Sensor Values                    | Predicted                                          | Actual                                            
1013  | 3,0,4,0,5,0,3                       |                                                    | a2                                                
1014  | 0,0,4,4,15,6,0                      | f2                                                 | f2                                                
1015  | 0,0,0,0,2,0,0                       |                                                    | a1, a2, b1, b2                                    
1016  | 0,0,0,0,2,0,0                       |                                                    | r2                                                
1017  | 0,0,3,3,32,2,0                      | f2, f3                                             | f2, f3                                            
1018  | 5,12,19,20,16,2,6                   | c2, g3                                             | c2, g3                                            
1019  | 0,0,0,2,227,5,0                     | f3                                                 | f3                                                
1020  | 0,0,0,0,1,0,0                       |                                                    | a1                                                
1021  | 0,0,0,1,0,0,0                       |                                                    | r1                                                
1022  | 0,0,0,0,2,0,0                       |                                                    | r1, r2, s1, s2                                    
1023  | 0,0,0,0,0,0,0                       |                                                    | s1, s2                                            
1024  | 0,0,0,0,2,0,0                       |                                                    | r1, r2                                            
1025  | 0,0,17,8,1,0,0                      | e3                                                 | e3                                                
1026  | 0,0,0,0,3,0,0                       |                                                    | r1, r2, s1, s2                                    
1027  | 0,0,0,1,0,0,0                       |                                                    | b2                                                
1028  | 6,8,12,16,12,3,6                    | g3                                                 | g3                                                
1029  | 0,0,1,1,2,0,0                       |                                                    | a1, a2, b1, b2                                    
1030  | 0,1,15,33,0,0,0                     | e3                                                 | e3                                                
1031  | 0,0,0,0,3,0,0                       |                                                    | r1, r2, s1, s2                                    
1032  | 0,1,15,9,0,2,0                      | e3                                                 | e3                                                
1033  | 0,0,0,4,14,7,0                      | f2                                                 | f2                                                
1034  | 0,0,2,3,31,4,0                      | f2, f3                                             | f2, f3                                            
1035  | 0,0,0,0,2,0,0                       |                                                    | r1, r2                                            
1036  | 0,0,1,0,4,0,0                       |                                                    | r2                                                
1037  | 0,0,0,2,2,0,0                       |                                                    | a2                                                
1038  | 0,0,0,1,2,0,0                       |                                                    | r1, r2, s1, s2                                    
1039  | 0,0,0,1,0,0,0                       |                                                    | b1                                                
1040  | 0,0,0,1,2,0,0                       |                                                    | r1, r2                                            
1041  | 0,0,0,0,2,0,0                       |                                                    | r1, r2                                            
1042  | 0,0,0,0,0,0,0                       |                                                    | b1                                                
1043  | 0,1,0,2,0,0,0                       |                                                    | b1                                                
1044  | 0,0,0,2,2,0,0                       |                                                    | a1                                                
1045  | 0,0,17,31,3,0,0                     | e3                                                 | e3                                                
1046  | 0,0,0,0,0,0,0                       |                                                    | a1, a2, b1, b2                                    
1047  | 0,0,0,0,2,0,0                       |                                                    | r2                                                
1048  | 0,0,0,1,0,0,0                       |                                                    | r1, r2                                            
1049  | 0,0,0,1,0,0,0                       |                                                    | b1, b2                                            
1050  | 0,0,0,0,1,0,0                       |                                                    | r2                                                
1051  | 0,0,0,2,2,0,0                       |                                                    | b1, b2                                            
1052  | 0,1,84,104,63,15,0                  | e2, e3, f2, f3                                     | e2, e3, f2, f3                                    
1053  | 0,0,1,0,4,0,0                       |                                                    | s1                                                
1054  | 0,0,18,4,3,0,0                      | e3                                                 | e3                                                
1055  | 0,0,20,33,3,0,0                     | e3                                                 | e3                                                
1056  | 0,0,0,0,1,0,0                       |                                                    | b1, b2                                            
1057  | 0,0,0,0,0,0,0                       |                                                    | r1, r2, s1, s2                                    
1058  | 4,13,16,21,12,2,5                   | c2, g3                                             | c2, g3                                            
1059  | 0,1,0,5,10,8,0                      | f2                                                 | f2                                                
1060  | 0,0,0,1,1,0,0                       |                                                    | a1, a2                                            
1061  | 0,3,216,746,2,0,0                   | e3                                                 | e3                                                
1062  | 0,0,0,0,0,1,0                       |                                                    | r1, r2                                            
1063  | 0,0,0,0,0,0,0                       |                                                    | b2                                                
1064  | 0,2,215,748,2,0,0                   | e3                                                 | e3                                                
1065  | 0,0,0,2,0,0,0                       |                                                    | s1                                                
1066  | 1,0,1,0,3,0,0                       |                                                    | r1, r2, s1, s2                                    
1067  | 0,0,0,2,0,0,0                       |                                                    | a1                                                
1068  | 6,15,20,24,14,6,6                   | c3                                                 | c3                                                
1069  | 0,0,0,0,0,0,0                       |                                                    | b1                                                
1070  | 0,0,0,0,228,4,0                     | f3                                                 | f3                                                
1071  | 0,0,0,0,1,0,0                       |                                                    | s2                                                
1072  | 0,0,0,0,0,0,0                       |                                                    | r1                                                
1073  | 6,12,17,21,13,2,7                   | c2, g3                                             | c2, g3                                            
1074  | 1,0,1,4,15,8,0                      | f2                                                 | f2                                                
1075  | 0,0,0,0,0,0,0                       |                                                    | r1, r2, s1, s2                                    
1076  | 0,2,217,749,2,1,0                   | e3                                                 | e3                                                
1077  | 0,0,0,3,0,0,0                       |                                                    | b2                                                
1078  | 0,0,0,0,1,0,0                       |                                                    | r1, r2, s1, s2                                    
1079  | 0,0,0,0,0,0,0                       |                                                    | b1                                                
1080  | 0,0,0,0,1,0,0                       |                                                    | r1                                                
1081  | 0,0,1,6,15,9,0                      | f2                                                 | f2                                                
1082  | 0,0,15,35,0,0,0                     | e3                                                 | e3                                                
1083  | 0,0,3,1,14,3,0                      | f2                                                 | f2                                                
1084  | 0,0,0,0,0,0,0                       |                                                    | r2                                                
1085  | 0,0,0,1,0,0,0                       |                                                    | r2                                                
1086  | 0,2,218,750,2,0,0                   | e3                                                 | e3                                                
1087  | 0,0,0,0,2,0,0                       |                                                    | s2                                                
1088  | 4,13,18,24,13,5,4                   | c3                                                 | c3                                                
1089  | 0,0,0,2,0,0,0                       |                                                    | b1, b2                                            
1090  | 0,0,0,2,0,0,0                       |                                                    | r2                                                
1091  | 0,2,220,748,3,1,0                   | e3                                                 | e3                                                
1092  | 0,2,1,1,1,0,0                       |                                                    | b2                                                
1093  | 0,0,2,7,31,4,0                      | f2, f3                                             | f2, f3                                            
1094  | 0,0,3,2,16,4,0                      | f2                                                 | f2                                                
1095  | 0,0,82,108,59,19,0                  | e2, e3, f2, f3                                     | e2, e3, f2, f3                                    
1096  | 3,13,13,20,11,5,3                   | c2                                                 | c2                                                
1097  | 0,1,85,107,65,17,0                  | e2, e3, f2, f3                                     | e2, e3, f2, f3                                    
1098  | 0,0,0,0,2,0,0                       |                                                    | r1                                                
1099  | 0,0,0,0,0,0,0                       |                                                    | a1                                                
1100  | 0,0,0,1,0,0,0                       |                                                    | r2                                                
1101  | 6,13,17,22,14,5,6                   | c2                                                 | c2, g3                                            
1102  | 0,1,0,1,0,0,0                       |                                                    | b2                                                
1103  | 0,0,0,1,1,0,0                       |                                                    | r1                                                
1104  | 0,0,0,0,1,0,0                       |                                                    | b1                                                
1105  | 0,0,0,1,3,0,0                       |                                                    | s1, s2                                            
1106  | 0,1,13,7,0,0,0                      | e3                                                 | e3                                                
1107  | 0,0,0,0,2,0,0                       |                                                    | r2                                                
1108  | 0,0,0,1,0,0,0                       |                                                    | a1, a2, b1, b2                                    
1109  | 0,0,0,0,0,0,0                       |                                                    | r2                                                
1110  | 0,0,0,1,0,1,0                       |                                                    | a1                                                
1111  | 1,14,13,20,9,3,3                    | c2, g3                                             | c2                                                
1112  | 6,13,20,23,14,7,6                   | c3                                                 | c3                                                
1113  | 0,0,0,0,3,0,0                       |                                                    | s1, s2                                            
1114  | 0,0,0,7,10,10,0                     | f2                                                 | f2                                                
1115  | 0,1,0,0,1,0,0                       |                                                    | a1                                                
1116  | 0,0,0,0,2,0,0                       |                                                    | s1                                                
1117  | 0,0,13,34,0,0,0                     | e3                                                 | e3                                                
1118  | 0,0,0,0,0,0,0                       |                                                    | b1, b2                                            
1119  | 0,0,0,0,0,0,0                       |                                                    | a1, a2                                            
1120  | 0,0,2,0,227,0,0                     | f3                                                 | f3                                                
1121  | 0,0,0,0,0,0,0                       |                                                    | a1, a2                                            
1122  | 0,0,0,1,0,0,0                       |                                                    | b1, b2                                            
1123  | 6,13,18,17,17,4,6                   | c2                                                 | c2                                                
1124  | 0,0,0,0,0,0,0                       |                                                    | r1                                                
1125  | 0,1,217,747,1,0,0                   | e3                                                 | e3                                                
1126  | 1,0,0,0,4,0,0                       |                                                    | s1, s2                                            
1127  | 0,0,0,1,226,5,0                     | f3                                                 | f3                                                
1128  | 4,12,13,20,11,3,4                   | c2, g3                                             | c2, g3                                            
1129  | 0,0,0,1,1,0,0                       |                                                    | a1                                                
1130  | 0,0,0,2,1,0,0                       |                                                    | b1                                                
1131  | 5,12,15,20,12,2,5                   | c2, g3                                             | c2, g3                                            
1132  | 1,0,1,1,2,0,0                       |                                                    | b1                                                
1133  | 0,0,0,0,4,0,0                       |                                                    | r2                                                
1134  | 0,0,0,2,1,0,0                       |                                                    | s1, s2                                            
1135  | 0,0,0,1,0,0,0                       |                                                    | s1                                                
